gender,SeniorCitizen,tenure,PhoneService,PaymentMethod,StreamingTV,MonthlyCharges,Churn
Female,0,1,No,Electronic check,No,29.85,No
Male,0,34,Yes,Mailed check,No,56.95,No
Male,0,2,Yes,Mailed check,No,53.85,Yes
Male,0,45,No,Bank transfer (automatic),No,42.3,No
Female,0,2,Yes,Electronic check,No,70.7,Yes
Female,0,8,Yes,Electronic check,Yes,99.65,Yes
Male,0,22,Yes,Credit card (automatic),Yes,89.1,No
Female,0,10,No,Mailed check,No,29.75,No
Female,0,28,Yes,Electronic check,Yes,104.8,Yes
Male,0,62,Yes,Bank transfer (automatic),No,56.15,No
Male,0,13,Yes,Mailed check,No,49.95,No
Male,0,16,Yes,Credit card (automatic),No internet service,18.95,No
Male,0,58,Yes,Credit card (automatic),Yes,100.35,No
Male,0,49,Yes,Bank transfer (automatic),Yes,103.7,Yes
Male,0,25,Yes,Electronic check,Yes,105.5,No
Female,0,69,Yes,Credit card (automatic),Yes,113.25,No
Female,0,52,Yes,Mailed check,No internet service,20.65,No
Male,0,71,Yes,Bank transfer (automatic),Yes,106.7,No
Female,0,10,Yes,Credit card (automatic),No,55.2,Yes
Female,0,21,Yes,Electronic check,No,90.05,No
Male,1,1,No,Electronic check,No,39.65,Yes
Male,0,12,Yes,Bank transfer (automatic),No internet service,19.8,No
Male,0,1,Yes,Mailed check,No internet service,20.15,Yes
Female,0,58,Yes,Credit card (automatic),No,59.9,No
Male,0,49,Yes,Credit card (automatic),No,59.6,No
Female,0,30,Yes,Bank transfer (automatic),No,55.3,No
Male,0,47,Yes,Electronic check,Yes,99.35,Yes
Male,0,1,No,Electronic check,No,30.2,Yes
Male,0,72,Yes,Credit card (automatic),Yes,90.25,No
Female,0,17,Yes,Mailed check,Yes,64.7,Yes
Female,1,71,Yes,Credit card (automatic),No,96.35,No
Male,1,2,Yes,Credit card (automatic),Yes,95.5,No
Female,0,27,Yes,Mailed check,No,66.15,No
Male,0,1,Yes,Bank transfer (automatic),No internet service,20.2,No
Male,1,1,Yes,Bank transfer (automatic),No,45.25,No
Female,0,72,Yes,Bank transfer (automatic),Yes,99.9,No
Male,0,5,Yes,Electronic check,No,69.7,Yes
Female,0,46,Yes,Credit card (automatic),No,74.8,No
Male,0,34,Yes,Electronic check,Yes,106.35,Yes
Female,0,11,Yes,Bank transfer (automatic),Yes,97.85,Yes
Male,0,10,Yes,Mailed check,No,49.55,No
Female,0,70,Yes,Credit card (automatic),Yes,69.2,No
Female,0,17,Yes,Mailed check,No internet service,20.75,No
Female,0,63,Yes,Credit card (automatic),Yes,79.85,No
Female,0,13,Yes,Electronic check,Yes,76.2,No
Female,0,49,Yes,Electronic check,No,84.5,No
Male,0,2,Yes,Mailed check,No,49.25,No
Female,0,2,Yes,Electronic check,Yes,80.65,Yes
Male,0,52,Yes,Credit card (automatic),Yes,79.75,No
